BUSINESS_PLAN_DETAILS_ID,BUSINESS_PLAN_ID,ERP_CODE,QUANTITY,COEFFICIENT_CODE,SHIPPING_FEES,IMPORT_FEES,TYPE_CALCULATE,MU,SELLING_PRICE,FOREIGN_CURRENCY_TYPE,NOTE
1,2,RGK0000A00010821,1,80.00%,"2,000.00",0.00%,MU,27,0.00,JPY,Đơn chính
2,2,RGK0000A00010784,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Đơn chính
3,2,RGK000009407F202,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Đơn chính
4,2,RGK0000A00007469,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Đơn chính
5,2,RGK0000A00007484,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Đơn chính
6,2,RGK0000M00004581,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Đơn chính
7,2,RGK000000092005G,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Đơn chính
8,2,RGK000000092002G,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Đơn chính
9,2,RGK0000A00010643,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Đơn chính
10,2,RGK0000A00002242,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Đơn chính
11,2,RGK0000A00002243,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Đơn chính
12,2,RGK0000A00002245,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Đơn chính
13,2,RGK0000A00002244,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Đơn chính
14,2,RGK0000A00010712,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Đơn chính
15,2,RGK0000RC0051306,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Đơn chính
16,2,RGK0000A00010027,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Đơn chính
17,2,RGK0000A00010028,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Đơn chính
18,2,RGK0000A00007458,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Tùy chọn 1
19,2,RGK0000A00007807,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Tùy chọn 1
20,2,RGK000002455F504,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Tùy chọn 1
21,2,RGK000002455F503,1,80.00%,0.00,0.00%,MU,27,0.00,JPY,Tùy chọn 1
22,2,RGK00000C3630044,3,80.00%,0.00,0.00%,MU,27,0.00,JPY,Tùy chọn 1
23,3,1108CL,2,85.00%,550.00,15.00%,MU,19,0.00,VND,
24,4,RGK0000A00012243,2,80.00%,"4,000.00",0.00%,Giá bán,25,"5,017,029,600.00",VND,Máy chính
25,4,RGK000003299Z043,2,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
26,4,RGK000003006B023,2,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
27,4,RGK0000090699800,2,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
28,4,RGK000003006B101,2,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
29,4,RGK0000A00004099,2,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
30,4,RGK000003006B114,2,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
31,4,RGK000003006B115,2,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
32,4,RGK000003006B118,2,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
33,4,RGK000003006B119,2,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
34,4,RGK000003006B120,2,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
35,4,RGK000003006B149,2,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
36,4,RGK00000300AB008,2,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
37,4,RGK000003006B141,2,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
38,4,RGK000003199Z038,8,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
39,4,RGK000003399B003,24,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
40,4,RGK000003399D004,24,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
41,4,RGK000003399N005,2,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
42,4,RGK000003199S001,2,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
43,4,RGK000003299Z004,2,80.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
44,4,ORI000E1500B2VG2,2,100.00%,0.00,0.00%,Giá bán,25,0.00,VND,Máy chính
45,4,DEL0000006FM7X11,2,100.00%,0.00,0.00%,Giá bán,0,0.00,VND,Máy chính
46,4,DEL0000000E2423H,2,100.00%,0.00,0.00%,Giá bán,0,0.00,VND,Máy chính
47,4,MES00000CYLINDER,2,100.00%,0.00,0.00%,Giá bán,0,0.00,VND,Máy chính
48,4,MES0000000000P10,2,100.00%,0.00,0.00%,Giá bán,0,0.00,VND,Máy chính
49,4,VN0000000000ATBX,2,100.00%,0.00,0.00%,Giá bán,0,0.00,VND,Máy chính
50,4,TPL0000000TG3468,2,100.00%,0.00,0.00%,Giá bán,0,0.00,VND,Máy chính
51,4,HP00000PRO4003DN,2,100.00%,0.00,0.00%,Giá bán,0,0.00,VND,Máy chính
52,4,TPL00000TLWN822N,2,100.00%,0.00,0.00%,Giá bán,0,0.00,VND,Máy chính
53,4,SANUPS3C3PRO20KS,2,100.00%,0.00,0.00%,Giá bán,0,0.00,VND,Máy chính
54,4,chuan1,1,100.00%,0.00,0.00%,Giá bán,0,"603,000,000.00",VND,Mẫu chuẩn
55,4,chuan2,1,100.00%,0.00,0.00%,Giá bán,0,0.00,VND,Mẫu chuẩn
56,4,VN0000000XRFUSE6,1,100.00%,0.00,0.00%,Giá bán,0,"2,236,231,000.00",VND,Chuẩn bị mẫu
57,3,43AS,2,85.00%,0.00,15.00%,MU,19,0.00,VND,
58,6,1108CL,1,85.00%,"1,200.00",15.00%,MU,20,0.00,VND,
59,8,1108CL,2,0.00%,0.00,0.00%,,0,0.00,,
60,1,RGK0000A00012243,1,80.00%,"2,000.00",0.00%,MU,30,0.00,JPY,Máy chính
61,1,RGK000003299Z047,1,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
62,1,RGK000003006B023,1,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
63,1,RGK000003006B030,1,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
64,1,RGK000003006B101,1,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
65,1,RGK0000A00004099,1,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
66,1,RGK000003006B114,1,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
67,1,RGK000003006B115,1,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
68,1,RGK000003006B148,1,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
69,1,RGK000003006B116,1,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
70,1,RGK000003006B118,1,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
71,1,RGK000003006B149,1,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
72,1,RGK00000300AB008,1,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
73,1,RGK000003199Z038,4,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
74,1,RGK000003399B003,12,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
75,1,RGK000003399D004,12,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
76,1,RGK000003199S001,1,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
77,1,RGK000003299Z004,1,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
78,1,RGK0000A00004279,1,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
79,1,ORIS1502JMV00000,1,100.00%,0.00,0.00%,MU,20,0.00,JPY,Phụ trợ
80,1,MES00000CYLINDER,1,100.00%,0.00,0.00%,MU,20,0.00,JPY,Phụ trợ
81,1,MES0000000000P10,1,100.00%,0.00,0.00%,MU,20,0.00,JPY,Phụ trợ
82,1,TPL0000000TG3468,1,100.00%,0.00,0.00%,MU,20,0.00,JPY,Phụ trợ
83,1,DEL0000006FM7X11,1,100.00%,0.00,0.00%,MU,20,0.00,JPY,Phụ trợ
84,1,DEL0000000E2423H,1,100.00%,0.00,0.00%,MU,20,0.00,JPY,Phụ trợ
85,1,ausmonsilicat,1,100.00%,0.00,0.00%,MU,20,0.00,JPY,Phụ trợ
86,10,RGK0000A00014619,1,80.00%,"1,200.00",0.00%,MU,28,0.00,JPY,Máy chính
87,10,RGK000003016B002,1,80.00%,0.00,0.00%,MU,28,0.00,JPY,Máy chính
88,10,RGK00000301AB009,1,80.00%,0.00,0.00%,MU,28,0.00,JPY,Máy chính
89,10,RGK000003016B010,1,80.00%,0.00,0.00%,MU,28,0.00,JPY,Máy chính
90,10,RGK0000A00009923,1,80.00%,0.00,0.00%,MU,28,0.00,JPY,Máy chính
91,10,RGK000003299Z051,1,80.00%,0.00,0.00%,MU,28,0.00,JPY,Máy chính
92,10,RGK0000A00011245,9,80.00%,0.00,0.00%,MU,28,0.00,JPY,Máy chính
93,10,300AB010,1,80.00%,0.00,0.00%,MU,28,0.00,JPY,Máy chính
94,10,DEL0000006FM7X11,1,100.00%,0.00,0.00%,MU,17,0.00,VND,Phụ trợ
95,10,DEL0000000E2423H,1,100.00%,0.00,0.00%,MU,17,0.00,VND,Phụ trợ
96,10,HP00000PRO4003DN,1,100.00%,0.00,0.00%,MU,17,0.00,VND,Phụ trợ
97,10,ausmonsilicat,1,100.00%,0.00,0.00%,MU,17,0.00,VND,Phụ trợ
98,11,RGK0000A00012243,1,80.00%,"2,500.00",0.00%,MU,23,0.00,JPY,
99,11,RGK000003299Z041,1,80.00%,0.00,0.00%,MU,23,0.00,JPY,
100,11,RGK0000090699800,1,80.00%,0.00,0.00%,MU,23,0.00,JPY,
101,11,RGK000003006B101,1,80.00%,0.00,0.00%,MU,23,0.00,JPY,
102,11,RGK0000A00004099,1,80.00%,0.00,0.00%,MU,23,0.00,JPY,
103,11,RGK000003006B114,1,80.00%,0.00,0.00%,MU,23,0.00,JPY,
104,11,RGK000003006B115,1,80.00%,0.00,0.00%,MU,23,0.00,JPY,
105,11,RGK000003006B148,1,80.00%,0.00,0.00%,MU,23,0.00,JPY,
106,11,RGK000003006B116,1,80.00%,0.00,0.00%,MU,23,0.00,JPY,
107,11,RGK000003006B120,1,80.00%,0.00,0.00%,MU,23,0.00,JPY,
108,11,RGK000003006B149,1,80.00%,0.00,0.00%,MU,23,0.00,JPY,
109,11,RGK000003006C009,1,80.00%,0.00,0.00%,MU,23,0.00,JPY,
110,11,RGK00000300AB008,1,80.00%,0.00,0.00%,MU,23,0.00,JPY,
111,11,RGK000003006B141,1,80.00%,0.00,0.00%,MU,23,0.00,JPY,
112,11,RGK000003199Z038,4,80.00%,0.00,0.00%,MU,23,0.00,JPY,
113,11,RGK000003399B003,24,80.00%,0.00,0.00%,MU,23,0.00,JPY,
114,11,RGK000003399D004,24,80.00%,0.00,0.00%,MU,23,0.00,JPY,
115,11,RGK000003199S001,1,80.00%,0.00,0.00%,MU,23,0.00,JPY,
116,11,RGK000003299Z004,1,80.00%,0.00,0.00%,MU,23,0.00,JPY,
117,11,A00010089,1,80.00%,0.00,0.00%,MU,23,0.00,JPY,
118,11,,0,0.00%,0.00,0.00%,,0,0.00,,
119,1,RGK000003006B141,1,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
120,1,RGK000003006C009,1,80.00%,0.00,0.00%,MU,30,0.00,JPY,Máy chính
121,1,VN0000000000ATBX,1,100.00%,0.00,0.00%,MU,20,0.00,JPY,Phụ trợ
